case_id,gold_label,is_security_skill,gpt_confidence,claude_confidence,both_low,gpt_note,claude_note,gpt_evidence,claude_evidence,pattern_group,fp_assessment,fp_reason,bring_to_victor
LLM017,SECONDARY,true,low,medium,false,"Seria um analista de contexto que também opera somente leitura e trata conteúdo carregado como evidência, não instrução.",Assistente que retoma o contexto de trabalho: opera read-only e manda tratar conteudo carregado como evidencia e nao instrucao.,body,body,restricao_de_agente,,,
LLM022,SECONDARY,true,medium,low,false,Seria um pesquisador de literatura que também restringe o escopo do agente e orienta o armazenamento de segredo em arquivo de ambiente.,Pesquisador fazendo sintese de literatura: o unico sinal e separar o segredo do provedor no .env em vez do arquivo de configuracao.,body,body,restricao_de_agente,,,
LLM030,SECONDARY,true,medium,low,false,"É trabalho de coordenação de pausa que também restringe commits, pushes e ações destrutivas para preservar o repositório.","Coordenador de workflow pausando trabalho: restringe push, rebase, commit parcial e trabalho destrutivo do agente.",description;body,body,other,,,
LLM033,SECONDARY,true,medium,low,false,"É trabalho de produção de vídeo, mas condiciona ferramentas e recursos à presença das permissões necessárias.",Produtor de video montando walkthroughs: o unico sinal e a instrucao generica de parar quando faltam permissoes ou limites de atuacao.,body,body,other,,,
LLM037,SECONDARY,true,high,low,false,"É trabalho de construção de plugins, mas exige consentimento para sobrescrita e aplica e verifica permissões executáveis.",Gerador de estrutura de plugins: nunca sobrescreve sem confirmacao explicita e define permissoes de arquivo dos scripts.,body,body,consentimento_para_mudanca,,,
LLM050,SECONDARY,true,high,low,false,"É trabalho de engenharia de IA móvel, mas usa execução no dispositivo como controle de privacidade e confidencialidade dos dados.",Desenvolvedor iOS integrando LLM on-device: a escolha de execucao local e justificada por nenhum dado sair do dispositivo; a parte de conteudo perigoso nao conta.,body,description;body,privacidade_on_device,,,
LLM055,SECONDARY,true,high,low,false,Seria um engenheiro DevOps que também distribui credenciais e opera controles de acesso SSH entre nós.,"Administrador de uma malha de nos: o proposito e orquestrar agentes, mas distribui chaves de API e lida com autenticacao SSH e restricoes do Tailscale.",body,body,gestao_de_chave,,,
LLM057,SECONDARY,true,high,low,false,Seria um especialista de onboarding de plataforma que também configura autenticação e credenciais de API.,"Agente se cadastrando numa plataforma social: o proposito e onboarding, e o texto trata de persistir e regenerar a chave de API.",body,body,gestao_de_chave,,,
LLM068,SECONDARY,true,low,medium,false,Seria um analista de fluxo de produto que também opera em modo somente leitura e limita mudanças no repositório.,Coordenador de workflow reportando status: e read-only por padrao e preserva regras mais estritas sobre segredos e mudanca de visibilidade publica.,body,body,restricao_de_agente,,,
LLM077,SECONDARY,true,high,low,false,É um profissional de QA que inclui o teste de autenticação entre vários fluxos.,"QA rodando testes unitarios e de browser: o fluxo de login e um dos fluxos exercitados, sem ameaca nomeada.",body,body,autenticacao_como_fluxo,,,
LLM081,SECONDARY,true,medium,low,false,É um analista de requisitos que inclui o modelo de segurança entre os critérios de aceite.,Analista de requisitos escrevendo criterios de aceite: o unico sinal e extrair o modelo de seguranca dos documentos de planejamento.,body,body,other,,,
LLM082,SECONDARY,true,medium,low,false,É um operador de pipeline que preserva a integridade dos arquivos durante reexecuções.,Editor reexecutando etapas de revisao de papers: o unico sinal e a regra dura de nunca sobrescrever o snapshot arquivado.,body,body,other,,,
LLM097,SECONDARY,true,high,low,false,É um profissional de testes Laravel que verifica autenticação como uma de várias categorias de teste.,"Desenvolvedor Laravel escrevendo testes: uma das seis categorias e testar rotas autenticadas e tokens de API, sem ameaca nomeada.",description;body,description;body,autenticacao_como_fluxo,,,
LLM100,SECONDARY,true,high,low,false,É um mantenedor de dependências que exige autorização e preserva a integridade reversível do repositório.,"Desenvolvedor atualizando dependencias: o unico sinal sao as restricoes de agente de exigir consentimento, arvore limpa e nunca commitar sozinho.",description;body,body,consentimento_para_mudanca,,,
